rank,spanish,english
1,la,the/ third person direct object
2,el,the
3,que,which/ that
4,de,from/ of
5,en,on/ in
6,y,and
7,a,at/ to
8,ser,to be norm
9,no,no
10,se,reflexive marker
11,un,an/ a
12,lo,3rd person dir obj-m / the
13,decir,say/ to tell
14,hacer,make/ to do
15,su,her/ his/ their/ your formal
16,haber,to have
17,tener,to have
18,me,me obj
19,otro,another/ other
20,por,for/ by/ through
21,con,with
22,todo,every/ all
23,mas,more
24,para,to/ for/ in order to
25,yo,I subj
26,como,as/ like
27,si,whether/ if
28,poder,can/ to be able to
29,dar,to give
30,le,3rd person indir obj
31,estar,to be
32,pero,yet/ but/ except
33,que,which?/ what?/ how !
34,este,this m esta f
35,entre,among/ between
36,pasar,spend time / to pass
37,mi,my
38,uno,one
39,primero,first
40,donde,where
41,porque,because
42,deber,ought to/ should/ to owe
43,ese,that m esa f
44,si,yes
45,nos,us obj
46,ni,neither/ not even/ nor
47,sobre,over/ on top of/ about
48,o,or
49,cuando,when
50,hombre,mankind/ man/ husband
51,grande,great/ large/ big
52,ir,to go
53,alguno,someone pron / some
54,muy,really/ very
55,forma,shape/ form/ way
56,cada,every/ each
57,algo,somewhat/ something
58,tres,three
59,ya,still/ already
60,dos,two
61,momento,time/ moment
62,menos,fewer/ less
63,hasta,up to/ until/ even
64,vez,time specific occurrence
65,asi,like that
66,esto,this n
67,ver,to see
68,cierto,true/ sure/ certain
69,mundo,world
70,poner,get / to put on
71,sin,without
72,punto,period/ dot/ point
73,mucho,many/ much/ a lot
74,despues,after
75,cosa,thing
76,el,ellos them m / he
77,casi,nearly/ almost
78,llegar,to arrive
79,tan,as/ such/ too/ so
80,tambien,also
81,hablar,talk/ to speak
82,mujer,wife/ woman
83,ella,ellas them f / she
84,hora,time specific / hour
85,ahora,now
86,propio,typical/ proper/ own
87,saber,find out/ to know a fact
88,tanto,so many/ so much
89,pensar,to think
90,desde,since/ from
91,mejor,better / best
92,nino,littleboy/ child
93,mismo,same
94,tipo,kind/ type
95,pequeno,young/ small/ little
96,te,you obj formal
97,ano,year
98,alli,over there/ there
99,parte,portion/ part
100,vida,life
